shortcode,post_date,post_url,display_url,like_and_view_counts_disabled,likes,is_paid_partnership,location,city,exact_city_match,lattitude,longitude,geo_city,geo_state,geo_country,is_video,is_verified,is_private,img_path,img_lables,img_lable_scores
CXyKYz3sb0E,12/22/2021,https://www.instagram.com/p/CXyKYz3sb0E/,https://instagram.fdel27-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/269805650_442225370679829_1625252043835897372_n.jpg?_nc_ht=instagram.fdel27-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=kmFfOzjqFicAX_UVIcz&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT8_JjbItI07J4PTS8HLgIE9488XQ5_kqEQHtHPK_GhHJw&oe=61CA76CF&_nc_sid=83d603,False,108,False,"Venice, Italy","Venice, Italy",True,45.437191,12.33459,Venice,VENETO,IT,False,False,False,C:\Docs\kitts\data\dump\italygram\Images\CXyKYz3sb0E.jpg,cloud sky daytime building window temple public-space city symmetry facade,"[['Cloud', 0.9797443747520447], ['Sky', 0.9689002633094788], ['Daytime', 0.9442331194877625], ['Building', 0.9227644801139832], ['Window', 0.9091489315032959], ['Temple', 0.8854728937149048], ['Public-space', 0.807827353477478], ['City', 0.7825932502746582], ['Symmetry', 0.7748052477836609], ['Facade', 0.7704656720161438]]"
CXy1CKxtSdH,12/22/2021,https://www.instagram.com/p/CXy1CKxtSdH/,https://instagram.fdel1-1.fna.fbcdn.net/v/t51.2885-15/e35/269702244_347792693346681_6016358101191225711_n.jpg?_nc_ht=instagram.fdel1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=qI02fAPHZs0AX-05lNz&tn=ywAaGR4lhm8erpqY&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT_DVZmldX7mfp-JY7qaI7Qya5GSj300LT97v5VFtwMwQw&oe=61CE0AAB&_nc_sid=83d603,False,201,False,Eryaman Ankara Türkiye,,False,39.99649,32.62075,Ankara,,TR,False,False,False,C:\Docs\kitts\data\dump\italygram\Images\CXy1CKxtSdH.jpg,white toy textile creative-arts font fawn art stuffed-toy pattern craft,"[['White', 0.9218714833259583], ['Toy', 0.9033058285713196], ['Textile', 0.8715548515319824], ['Creative-arts', 0.838709831237793], ['Font', 0.8226735591888428], ['Fawn', 0.815579354763031], ['Art', 0.7980053424835205], ['Stuffed-toy', 0.7526088953018188], ['Pattern', 0.7418705224990845], ['Craft', 0.684127926826477]]"
CXwU1CWLHLN,2021-12-22,https://www.instagram.com/p/CXwU1CWLHLN/,https://instagram.fdel27-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/269738671_2126167187536426_109836241010708029_n.jpg?_nc_ht=instagram.fdel27-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=lqBcKDLGB8IAX_Nz2dM&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT8qsXZm8S9jp3jFATDlkPXQTNZueXjUzCqEbbsZfUU_hQ&oe=61D04909&_nc_sid=83d603,False,228,False,"Pisa, Italy","Pisa, Italy",True,43.715925,10.401898,Pisa,TUSCANY,IT,False,False,False,C:\Docs\kitts\data\dump\italygram\Images\CXwU1CWLHLN.jpg,sky blue building azure window morning facade city travel road-surface,"[['Sky', 0.9612416625022888], ['Blue', 0.9481309056282043], ['Building', 0.9198534488677979], ['Azure', 0.893895149230957], ['Window', 0.8803098201751709], ['Morning', 0.7952008843421936], ['Facade', 0.7698727250099182], ['City', 0.7697494626045227], ['Travel', 0.7483733892440796], ['Road-surface', 0.726410448551178]]"
CXwLbqks5Wa,2021-12-21,https://www.instagram.com/p/CXwLbqks5Wa/,https://instagram.fdel27-4.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/269703346_135651862195854_1786094247957240539_n.jpg?_nc_ht=instagram.fdel27-4.fna.fbcdn.net&_nc_cat=106&_nc_ohc=C9PSJPX9bnUAX8GcOAY&tn=5SGrGGbEjo26VFWK&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT80fmlg3Z8YI-KI8kdGVdA9Z_Ye9vjo04UwMDyY1AmmFw&oe=61D0565A&_nc_sid=83d603,False,148,False,"Riomaggiore, Cinque Terre, Italy",Riomaggiore,False,44.099594,9.738275,Riomaggiore,LIGURIA,IT,False,False,False,C:\Docs\kitts\data\dump\italygram\Images\CXwLbqks5Wa.jpg,water boat boats-and-boating--equipment-and-supplies lake watercraft recreation leisure wood vehicle electric-blue,"[['Water', 0.9792576432228088], ['Boat', 0.9251961708068848], ['Boats-and-boating--Equipment-and-supplies', 0.900114119052887], ['Lake', 0.8660205006599426], ['Watercraft', 0.8287299275398254], ['Recreation', 0.7919185757637024], ['Leisure', 0.7659747004508972], ['Wood', 0.7638643383979797], ['Vehicle', 0.7252715229988098], ['Electric-blue', 0.7061779499053955]]"
CXtKZpQol8v,12/20/2021,https://www.instagram.com/p/CXtKZpQol8v/,https://instagram.fdel27-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/269526526_1506799999695913_7223705162333443460_n.jpg?_nc_ht=instagram.fdel27-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=glBSP_AmbTYAX9kw0eW&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT9adeP-aOdUJbAZPMNcF38Bv_voC6LlAI3hBaycbqCFkg&oe=61C79871&_nc_sid=83d603,False,0,False,,,,,,,,,False,False,False,C:\Docs\kitts\data\dump\italygram\Images\CXtKZpQol8v.jpg,sky plant stone-wall landscape grass city brick archaeological-site building facade,"[['Sky', 0.9754219055175781], ['Plant', 0.9368830323219299], ['Stone-wall', 0.7963681221008301], ['Landscape', 0.7885115742683411], ['Grass', 0.7875970005989075], ['City', 0.773718535900116], ['Brick', 0.7731775641441345], ['Archaeological-site', 0.7728501558303833], ['Building', 0.7413821816444397], ['Facade', 0.7150634527206421]]"
CXtKRi4MMfU,12/20/2021,https://www.instagram.com/p/CXtKRi4MMfU/,https://instagram.fdel27-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/269675472_283340137146121_7504917507460063531_n.jpg?_nc_ht=instagram.fdel27-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=SBqXygj71joAX-s24tb&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT_LjJoVUeXagkGK_g-4EfhsnPgoiIUcts8TbuHE_Bt4bw&oe=61C69B44&_nc_sid=83d603,False,2,False,"Benevento, Italy","Benevento, Italy",True,41.129559,14.782464,Benevento,CAMPANIA,IT,False,False,False,C:\Docs\kitts\data\dump\italygram\Images\CXtKRi4MMfU.jpg,sky plant window building arecales tree public-space terrestrial-plant tints-and-shades house,"[['Sky', 0.9743064641952515], ['Plant', 0.9549347162246704], ['Window', 0.9145544171333313], ['Building', 0.9090876579284668], ['Arecales', 0.8563089370727539], ['Tree', 0.8452794551849365], ['Public-space', 0.806560754776001], ['Terrestrial-plant', 0.7801030278205872], ['Tints-and-shades', 0.7687582969665527], ['House', 0.7564314007759094]]"
CXtKHbjIMG6,12/20/2021,https://www.instagram.com/p/CXtKHbjIMG6/,https://instagram.fdel27-3.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/269768600_1278382862682448_6519592453886865814_n.jpg?_nc_ht=instagram.fdel27-3.fna.fbcdn.net&_nc_cat=104&_nc_ohc=wJv52sFQPEcAX-A3ewc&tn=0Yxm5w19UIm713Vj&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT_gcjgh65RFgENcSI_FB-IQaaOp6Itl-jxBvtJ3ZAoI_Q&oe=61C791DA&_nc_sid=83d603,False,2,False,,,,,,,,,False,False,False,C:\Docs\kitts\data\dump\italygram\Images\CXtKHbjIMG6.jpg,nose cheek skin lip eyebrow mouth eyelash lipstick organ flash-photography,"[['Nose', 0.9835830330848694], ['Cheek', 0.9789152145385742], ['Skin', 0.9763200283050537], ['Lip', 0.9706995487213135], ['Eyebrow', 0.9431338310241699], ['Mouth', 0.9312311410903931], ['Eyelash', 0.9300123453140259], ['Lipstick', 0.9116449356079102], ['Organ', 0.9023340940475464], ['Flash-photography', 0.8837196826934814]]"
CXtJvJHKvt4,12/20/2021,https://www.instagram.com/p/CXtJvJHKvt4/,https://instagram.fdel27-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/269592834_118062563877820_67710193134309838_n.jpg?_nc_ht=instagram.fdel27-3.fna.fbcdn.net&_nc_cat=104&_nc_ohc=rKvkDiRgNyoAX9PDVpC&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT9Z5f74Bft27j_ejRfTfmNiAuO_WHX6ac_Fw1TbLKO5Lw&oe=61C6B2FE&_nc_sid=83d603,False,47,True,Armani Hotel Dubai,"Dubai, United Arab Emirates",False,25.268352,55.296196,Dubai,,AE,False,False,False,C:\Docs\kitts\data\dump\italygram\Images\CXtJvJHKvt4.jpg,smile flower plant flash-photography dress happy flower-arranging natural-foods bouquet beauty,"[['Smile', 0.9750803112983704], ['Flower', 0.9599988460540771], ['Plant', 0.9442598819732666], ['Flash-photography', 0.8508669137954712], ['Dress', 0.8342244029045105], ['Happy', 0.8293009400367737], ['Flower-Arranging', 0.7870942950248718], ['Natural-foods', 0.7599032521247864], ['Bouquet', 0.7593806982040405], ['Beauty', 0.7527812719345093]]"
CXtJbClrXdL,12/20/2021,https://www.instagram.com/p/CXtJbClrXdL/,https://instagram.fdel27-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/269621349_122307253601105_4155869644389253678_n.jpg?_nc_ht=instagram.fdel27-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=G5maL_6xd9oAX95DKio&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT918uYegFWj4OMUZ4-Z8qyGXxWV6P9X_P3F8wwzgkiIJQ&oe=61C6C9AD&_nc_sid=83d603,False,40,False,,,,,,,,,False,False,False,C:\Docs\kitts\data\dump\italygram\Images\CXtJbClrXdL.jpg,organism font line advertising brand rectangle photo-caption logo history slope,"[['Organism', 0.8551298379898071], ['Font', 0.8410527110099792], ['Line', 0.8170992732048035], ['Advertising', 0.6806857585906982], ['Brand', 0.6710828542709351], ['Rectangle', 0.659113347530365], ['Photo-caption', 0.6584711670875549], ['Logo', 0.6271442174911499], ['History', 0.5800731182098389], ['Slope', 0.5459927916526794]]"
CXtJZ8KM9rX,12/20/2021,https://www.instagram.com/p/CXtJZ8KM9rX/,https://instagram.fdel27-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/269767553_614921559716118_4655967762330633384_n.jpg?_nc_ht=instagram.fdel27-4.fna.fbcdn.net&_nc_cat=106&_nc_ohc=2IXjQsGoH6EAX-7zxUG&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT-KUlqSQEuaPZWC9VdtBbC_g_VKo0-zJ6yPTuQUiGZYnA&oe=61C71EF7&_nc_sid=83d603,False,13,False,"Ortisei, Italy","Ortisei, Italy",True,46.590462,11.684557,Ortisei,TRENTINO-ALTO ADIGE/SÜDTIROL,IT,False,False,False,C:\Docs\kitts\data\dump\italygram\Images\CXtJZ8KM9rX.jpg,sky light window nature lighting building house christmas-decoration electricity christmas,"[['Sky', 0.9428701400756836], ['Light', 0.9109421372413635], ['Window', 0.9035640358924866], ['Nature', 0.9004352688789368], ['Lighting', 0.8668124079704285], ['Building', 0.8576691150665283], ['House', 0.8512944579124451], ['Christmas-decoration', 0.8506667017936707], ['Electricity', 0.850155234336853], ['Christmas', 0.7873063087463379]]"
