shortcode,post_date,display_url,likes,location,city,lattitude,longitude,geo_city,geo_state,geo_country,img_path,img_lables,sunset,atmosphere,art,beach,snow,mountain,shopping,food,history,fun,transport,water,christmas,happy,photography,combined_labels
CYbzIt3FRZY,2022-07-01,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/e35/271370078_4591712077572692_8116908350255799134_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=rfxEELiBZJIAX8UWqCj&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT8rQVPEHP1LEfE6OEcevdlTS3DOvqRQP0lc3C1I_kczKg&oe=61DE9084&_nc_sid=83d603,1,"Caracas, D.F., Venezuela",Caracas,10.501823,-66.912105,Caracas,,VE,C:\Docs\kitts\data\dump\italiancity\Images\CYbzIt3FRZY.jpg,font line parallel graphics circle logo brand poster diagram advertising,,,art,,,,,,,,,,,,,art
CYbz6ioI7cU,2022-07-01,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/271363947_346362190319361_186593529088053644_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=PU0X0TnMjEYAX8zE5kD&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT-JX0tJ1X3-5cAgDts4AQ3xjqCAvDwh_RRqTtivglZoXQ&oe=61DF8D9A&_nc_sid=83d603,22,Grotte di Catullo,Sirmione,45.469077,10.605721,Sirmione,LOMBARDY,IT,C:\Docs\kitts\data\dump\ancientrome\Images\CYbz6ioI7cU.jpg,cloud sky tree plant landscape tints-and-shades stone-wall arch archaeological-site natural-landscape,,,,,,,,,,,,,,,,
CYbye0tNyz5,2022-07-01,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/e35/271345376_663541328159533_3610167757075500995_n.webp.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=FO2jlnnzR9cAX9bCaOl&tn=bVq_4B2W2DheUn9m&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT8AAXA0mltFxNNUBYELbxgDd3K5NgO9bfCeedHB1KctpQ&oe=61DFFFF7&_nc_sid=83d603,18,,,,,,,,C:\Docs\kitts\data\dump\italiantravel\Images\CYbye0tNyz5.jpg,forehead nose cheek lip outerwear shoulder eyebrow eyelash mouth lipstick,,,,,,,,,,,,,,,photography,photography
CYbyQHllrv-,2022-07-01,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/271422986_1063460694441458_3903367547344685906_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=rtSQ7tdi3gYAX9p2fUx&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT8FZp2ZtoB31G-GzbwE6-dIaUdqhd5s1h390KcWKaz-lw&oe=61DFE7DC&_nc_sid=83d603,5,Torre della Scimmia,"Rome, Italy",41.893344,12.483072,Rome,LAZIO,IT,C:\Docs\kitts\data\dump\ancientrome\Images\CYbyQHllrv-.jpg,hand wood gesture body-jewelry finger wedding-ring wedding-ceremony-supply nail font jewellery,,,,,,,,,,,,,,,,
CYbyCuQM3rt,2022-07-01,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/e35/271484021_1302459333549775_1413984572029810429_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=MZlVFFbDsyIAX8ZMFw8&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT9G5UdUlEA6WfF22ezjOx1YHqegfYJ_PuUFl5db3BQBag&oe=61DFD1DD&_nc_sid=83d603,190,Italy,,43.524673,12.1605,,,IT,C:\Docs\kitts\data\dump\italyvacation\Images\CYbyCuQM3rt.jpg,world building plant architecture urban-design tree city landscape landmark facade,,,,,,,,,,,,,,,,
CYby3oOPJbZ,2022-07-01,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/271418990_606952693741937_5255050062838430342_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=_qpdI3FpvVQAX8zPg_o&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT-2EUkOn_XqF7jBfqIDBDrAKi21hGgUO4LzIkzzGfxeqg&oe=61E02482&_nc_sid=83d603,13055,Italy,,43.524673,12.1605,,,IT,C:\Docs\kitts\data\dump\italyvacation\Images\CYby3oOPJbZ.jpg,water property sky building plant azure window tree travel coastal-and-oceanic-landforms,,,,,,,,,,,,water,,,,water
CYbxvtpFmao,2022-07-01,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/e35/271342242_461273895588982_8084563917620971108_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=tBDkzwfwm04AX816Hgt&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT-ZtdbV0rz2555P673YKJim88Y7Jfp9PUHr-zhHMdFTTQ&oe=61DFE38D&_nc_sid=83d603,0,,,,,,,,C:\Docs\kitts\data\dump\italytravel\Images\CYbxvtpFmao.jpg,font poster screenshot event,,,art,,,,,,,,,,,,,art
CYbxrzgoIeU,2022-07-01,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/271459224_668502054142482_6928766725245352199_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=5zGRK626i6MAX9MIK6M&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT_qkcuFEHz3fxfa8x09eKF4v0LQcB8PfCQn1c9klKZNRQ&oe=61E03C47&_nc_sid=83d603,9,"Vaticano, Roma","Rome, Italy",41.893344,12.483072,Rome,LAZIO,IT,C:\Docs\kitts\data\dump\italytravel\Images\CYbxrzgoIeU.jpg,sky water cloud daytime light building body-of-water morning bridge city,,,,,,,,,,,,water,,,,water
CYbxoHOIMyV,2022-07-01,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/e35/271327497_1292309491238342_7083697084100212273_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=o5QAb38A7C4AX-HWXTv&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT91d23SKPqn4eZdOPy9OKOhKjsgle95eblX5PyhymIfGA&oe=61DEB3E1&_nc_sid=83d603,1,Museo dei gladiatori,Santa Maria Capua Vetere,41.080214,14.256527,Santa Maria Capua Vetere,CAMPANIA,IT,C:\Docs\kitts\data\dump\ancientrome\Images\CYbxoHOIMyV.jpg,musical-instrument shoulder leg human-body sleeve hat gesture elbow headgear illustration,,,,,,,,,,,,,,,photography,photography
CYbxjrLgJxW,2022-07-01,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/271319325_3146194235622871_6410554660125636396_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=m1v24mswe-MAX_m44LW&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT8Vyn8ECmxU3qemrVNXigZ8GfaN75nJMEFXbg6oEjLnBg&oe=61E03550&_nc_sid=83d603,0,,,,,,,,C:\Docs\kitts\data\dump\italyvacation\Images\CYbxjrLgJxW.jpg,product plant rectangle bag material-property font jewellery body-jewelry electric-blue circle,,,art,,,,,,,,,,,,,art
